"region","year","total_rain_in","total_rain_mm"
"Arecibo",2020,78.5772325852082,1995.86170766429
"Arecibo",2021,67.6624365126208,1718.62588742057
"Arecibo",2022,80.3116294728868,2039.91538861132
"Arecibo",2023,60.435548396005,1535.06292925853
"Arecibo",2024,92.24958479044,2343.13945367717
"Bayamón",2020,80.8271947301494,2053.0107461458
"Bayamón",2021,68.9993322616013,1752.58303944467
"Bayamón",2022,92.3947284688026,2346.82610310759
"Bayamón",2023,71.149483615117,1807.19688382397
"Bayamón",2024,99.1126567284648,2517.46148090301
"Caguas",2020,83.7475541319638,2127.18787495188
"Caguas",2021,63.3796658453366,1609.84351247155
"Caguas",2022,98.1675748824548,2493.45640201435
"Caguas",2023,73.4539925361412,1865.73141041799
"Caguas",2024,104.096263972028,2644.04510488952
"Fajardo",2020,97.7564536358641,2483.01392235095
"Fajardo",2021,81.1840303834138,2062.07437173871
"Fajardo",2022,105.502469665393,2679.76272950097
"Fajardo",2023,84.6129810931378,2149.1697197657
"Fajardo",2024,123.23072422794,3130.06039538967
"Mayagüez",2020,83.8155992922955,2128.91622202431
"Mayagüez",2021,72.6960121069045,1846.47870751537
"Mayagüez",2022,89.4458395323891,2271.92432412268
"Mayagüez",2023,58.7768195745651,1492.93121719396
"Mayagüez",2024,91.1785658960813,2315.93557376046
"Metro",2020,82.3883685259498,2092.66456055912
"Metro",2021,66.8623673268011,1698.30413010075
"Metro",2022,90.6247520140993,2301.86870115812
"Metro",2023,70.0063140506973,1778.16037688771
"Metro",2024,96.7919105738402,2458.51452857554
"Ponce",2020,60.68951706198,1541.51373337429
"Ponce",2021,47.9540046822162,1218.03171892829
"Ponce",2022,82.1483133329157,2086.56715865606
"Ponce",2023,59.3485175969434,1507.45234696236
"Ponce",2024,81.4638360328282,2069.18143523384
